/bl X,/bl Y,/blb X,/blb Y,/q X,/q Y,/qb X,/qb Y,/w X,/w Y
0,0,0,1.2,0,0.5668891240591653,0,0.5668337135744066,0,0
6.25e-12,0.075,6.25e-12,1.125,6.25e-12,0.5733952967023709,6.25e-12,0.5733238309283762,6.25e-12,0.075
1.228938074571116e-11,0.1474725689485339,1.228938074571116e-11,1.052527431051466,1.228938074571116e-11,0.5759497671484307,1.228938074571116e-11,0.575841450496193,1.228938074571116e-11,0.1474725689485339
2.436814223713348e-11,0.2924177068456018,2.436814223713348e-11,0.9075822931543982,2.436814223713348e-11,0.5780484689973118,2.436814223713348e-11,0.5777959428604449,2.436814223713348e-11,0.2924177068456018
3.599019943136054e-11,0.4318823931763264,3.599019943136054e-11,0.7681176068236735,3.599019943136054e-11,0.5778309626812809,3.599019943136054e-11,0.5772133169337209,3.599019943136054e-11,0.4318823931763264
5.923431381981466e-11,0.7108117658377759,5.923431381981466e-11,0.489188234162224,5.923431381981466e-11,0.5836804029767468,5.923431381981466e-11,0.5712946399911084,5.923431381981466e-11,0.7108117658377759
6.431959681256853e-11,0.7718351617508223,6.431959681256853e-11,0.4281648382491776,6.431959681256853e-11,0.5866375362040452,6.431959681256853e-11,0.5666498174799477,6.431959681256853e-11,0.7718351617508223
7.107162314044725e-11,0.8528594776853669,7.107162314044725e-11,0.3471405223146331,7.107162314044725e-11,0.5936879535566502,7.107162314044725e-11,0.5399988526646193,7.107162314044725e-11,0.8528594776853669
7.838806822347151e-11,0.9406568186816581,7.838806822347151e-11,0.2593431813183419,7.838806822347151e-11,0.6212659145400919,7.838806822347151e-11,0.4573158792213696,7.838806822347151e-11,0.9406568186816581
8.426902352357907e-11,1.011228282282949,8.426902352357907e-11,0.1887717177170511,8.426902352357907e-11,0.678630757705754,8.426902352357907e-11,0.3402868173846647,8.426902352357907e-11,1.011228282282949
9.029668016612706e-11,1.083560161993525,9.029668016612706e-11,0.1164398380064753,9.029668016612706e-11,0.7865350435174432,9.029668016612706e-11,0.1996835004261091,9.029668016612706e-11,1.083560161993525
9.53645031970188e-11,1.144374038364225,9.53645031970188e-11,0.0556259616357746,9.53645031970188e-11,0.9120532763422462,9.53645031970188e-11,0.1060836742476226,9.53645031970188e-11,1.144374038364225
9.768225159850941e-11,1.172187019182113,9.768225159850941e-11,0.0278129808178873,9.768225159850941e-11,0.9737061797429893,9.768225159850941e-11,0.07633953672849736,9.768225159850941e-11,1.172187019182113
1e-10,1.2,1e-10,0,1e-10,1.029326496631214,1e-10,0.05029052762459708,1e-10,1.2
1.013839097321182e-10,1.2,1.013839097321182e-10,0,1.013839097321182e-10,1.055530217278968,1.013839097321182e-10,0.03796768092262876,1.013839097321182e-10,1.2
1.031337092273943e-10,1.2,1.031337092273943e-10,0,1.031337092273943e-10,1.087079743466193,1.031337092273943e-10,0.02623460373027751,1.031337092273943e-10,1.2
1.048266480930165e-10,1.2,1.048266480930165e-10,0,1.048266480930165e-10,1.113439678950083,1.048266480930165e-10,0.01992762218510353,1.048266480930165e-10,1.2
1.077913802683584e-10,1.2,1.077913802683584e-10,0,1.077913802683584e-10,1.147216812092582,1.077913802683584e-10,0.0125301357030911,1.077913802683584e-10,1.2
1.108988462768064e-10,1.2,1.108988462768064e-10,0,1.108988462768064e-10,1.169023431053031,1.108988462768064e-10,0.007501467950408989,1.108988462768064e-10,1.2
1.158462818092802e-10,1.2,1.158462818092802e-10,0,1.158462818092802e-10,1.187269328297252,1.158462818092802e-10,0.003116382029910247,1.158462818092802e-10,1.2
1.205239277696568e-10,1.2,1.205239277696568e-10,0,1.205239277696568e-10,1.194453845594535,1.205239277696568e-10,0.001330787397901178,1.205239277696568e-10,1.2
1.262572278150537e-10,1.2,1.262572278150537e-10,0,1.262572278150537e-10,1.198007468283099,1.262572278150537e-10,0.0004723213368274947,1.262572278150537e-10,1.2
1.331023503131114e-10,1.2,1.331023503131114e-10,0,1.331023503131114e-10,1.199336186601182,1.331023503131114e-10,0.0001275745746153346,1.331023503131114e-10,1.2
1.427050860380335e-10,1.2,1.427050860380335e-10,0,1.427050860380335e-10,1.199765980299444,1.427050860380335e-10,3.778846728759e-05,1.427050860380335e-10,1.2
1.563322359629049e-10,1.2,1.563322359629049e-10,0,1.563322359629049e-10,1.199800394125418,1.563322359629049e-10,1.340068134367441e-05,1.563322359629049e-10,1.2
1.786500157485638e-10,1.2,1.786500157485638e-10,0,1.786500157485638e-10,1.199803920587117,1.786500157485638e-10,2.803440547280854e-05,1.786500157485638e-10,1.2
2.204740396771809e-10,1.2,2.204740396771809e-10,0,2.204740396771809e-10,1.199796504497243,2.204740396771809e-10,1.478915127285429e-05,2.204740396771809e-10,1.2
3.041220875344153e-10,1.2,3.041220875344153e-10,0,3.041220875344153e-10,1.199804733157381,3.041220875344153e-10,2.79461399717722e-05,3.041220875344153e-10,1.2
4.639619759777817e-10,1.2,4.639619759777817e-10,0,4.639619759777817e-10,1.199796214935307,4.639619759777817e-10,1.46537373418071e-05,4.639619759777817e-10,1.2
7.744646409342255e-10,1.2,7.744646409342255e-10,0,7.744646409342255e-10,1.199804868012164,7.744646409342255e-10,2.814697662585736e-05,7.744646409342255e-10,1.2
1.379793538608526e-09,1.2,1.379793538608526e-09,0,1.379793538608526e-09,1.199796148003793,1.379793538608526e-09,1.471618991909129e-05,1.379793538608526e-09,1.2
2.551519383627652e-09,1.2,2.551519383627652e-09,0,2.551519383627652e-09,1.199804899713768,2.551519383627652e-09,2.781004313757101e-05,2.551519383627652e-09,1.2
4.551519383627653e-09,1.2,4.551519383627653e-09,0,4.551519383627653e-09,1.199796133304531,4.551519383627653e-09,1.472878414222371e-05,4.551519383627653e-09,1.2
6.551519383627653e-09,1.2,6.551519383627653e-09,0,6.551519383627653e-09,1.199804910354952,6.551519383627653e-09,2.780080598624668e-05,6.551519383627653e-09,1.2
8.551519383627652e-09,1.2,8.551519383627652e-09,0,8.551519383627652e-09,1.199796122822898,8.551519383627652e-09,1.473797159359552e-05,8.551519383627652e-09,1.2
1.01e-08,1.2,1.01e-08,0,1.01e-08,1.199804922158127,1.01e-08,2.779034356812926e-05,1.01e-08,1.2
1.012379580172522e-08,1.2,1.012379580172522e-08,0,1.012379580172522e-08,1.193700480019509,1.012379580172522e-08,-0.003555557371563356,1.012379580172522e-08,0.9144503792973282
1.014767419975291e-08,1.2,1.014767419975291e-08,0,1.014767419975291e-08,1.192309052692982,1.014767419975291e-08,-0.004286192678702269,1.014767419975291e-08,0.6279096029650628
1.017383709987645e-08,1.2,1.017383709987645e-08,0,1.017383709987645e-08,1.192901012149044,1.017383709987645e-08,-0.004990997499461059,1.017383709987645e-08,0.313954801482546
1.02e-08,1.2,1.02e-08,0,1.02e-08,1.192718271620299,1.02e-08,-0.005259644820307776,1.02e-08,0
