/q X,/q Y,q vs qb X,q vs qb Y,qb vs q X,qb vs q Y
0,0,1.199795505953805,0,0,1.199795505953805
0.024,0.024,1.199713714118079,0.024,0.024,1.199713714118079
0.048,0.048,1.199576492283162,0.048,0.048,1.199576492283162
0.07200000000000001,0.07200000000000001,1.199351535712314,0.07200000000000001,0.07200000000000001,1.199351535712314
0.096,0.096,1.198993262735567,0.096,0.096,1.198993262735567
0.12,0.12,1.198442592196554,0.12,0.12,1.198442592196554
0.144,0.144,1.197629576948578,0.144,0.144,1.197629576948578
0.168,0.168,1.196477493898181,0.168,0.168,1.196477493898181
0.192,0.192,1.194906132600523,0.192,0.192,1.194906132600523
0.216,0.216,1.192832749554357,0.216,0.216,1.192832749554357
0.24,0.24,1.190170458977548,0.24,0.24,1.190170458977548
0.264,0.264,1.186824390710717,0.264,0.264,1.186824390710717
0.288,0.288,1.182685626847104,0.288,0.288,1.182685626847104
0.312,0.312,1.177622154920888,0.312,0.312,1.177622154920888
0.336,0.336,1.171464965648055,0.336,0.336,1.171464965648055
0.36,0.36,1.163985522396242,0.36,0.36,1.163985522396242
0.3840000000000001,0.3840000000000001,1.154856664608861,0.3840000000000001,0.3840000000000001,1.154856664608861
0.4080000000000001,0.4080000000000001,1.143578304173946,0.4080000000000001,0.4080000000000001,1.143578304173946
0.4320000000000001,0.4320000000000001,1.12931965101195,0.4320000000000001,0.4320000000000001,1.12931965101195
0.4560000000000001,0.4560000000000001,1.110518941314018,0.4560000000000001,0.4560000000000001,1.110518941314018
0.4800000000000001,0.4800000000000001,1.083913947295639,0.4800000000000001,0.4800000000000001,1.083913947295639
0.5040000000000001,0.5040000000000001,1.041143920698722,0.5040000000000001,0.5040000000000001,1.041143920698722
0.5280000000000001,0.5280000000000001,0.9559911342984757,0.5280000000000001,0.5280000000000001,0.9559911342984757
0.5520000000000002,0.5520000000000002,0.7580040549599373,0.5520000000000002,0.5520000000000002,0.7580040549599373
0.5760000000000002,0.5760000000000002,0.4385460782446942,0.5760000000000002,0.5760000000000002,0.4385460782446942
0.6000000000000002,0.6000000000000002,0.1981634429393533,0.6000000000000002,0.6000000000000002,0.1981634429393533
0.6240000000000002,0.6240000000000002,0.138139589533105,0.6240000000000002,0.6240000000000002,0.138139589533105
0.6480000000000002,0.6480000000000002,0.1095442963876591,0.6480000000000002,0.6480000000000002,0.1095442963876591
0.6720000000000003,0.6720000000000003,0.08971632740219553,0.6720000000000003,0.6720000000000003,0.08971632740219553
0.6960000000000003,0.6960000000000003,0.07426192738297031,0.6960000000000003,0.6960000000000003,0.07426192738297031
0.7200000000000003,0.7200000000000003,0.06164376078620501,0.7200000000000003,0.7200000000000003,0.06164376078620501
0.7440000000000003,0.7440000000000003,0.05108328874188355,0.7440000000000003,0.7440000000000003,0.05108328874188355
0.7680000000000003,0.7680000000000003,0.0421320959955529,0.7680000000000003,0.7680000000000003,0.0421320959955529
0.7920000000000004,0.7920000000000004,0.03449559777049497,0.7920000000000004,0.7920000000000004,0.03449559777049497
0.8160000000000004,0.8160000000000004,0.02796663215748517,0.8160000000000004,0.8160000000000004,0.02796663215748517
0.8400000000000004,0.8400000000000004,0.02239222856314467,0.8400000000000004,0.8400000000000004,0.02239222856314467
0.8640000000000004,0.8640000000000004,0.01765494049382743,0.8640000000000004,0.8640000000000004,0.01765494049382743
0.8880000000000005,0.8880000000000005,0.01366123278890164,0.8880000000000005,0.8880000000000005,0.01366123278890164
0.9120000000000005,0.9120000000000005,0.01033361724308425,0.9120000000000005,0.9120000000000005,0.01033361724308425
0.9360000000000005,0.9360000000000005,0.007604982147688918,0.9360000000000005,0.9360000000000005,0.007604982147688918
0.9600000000000005,0.9600000000000005,0.005414364027052495,0.9600000000000005,0.9600000000000005,0.005414364027052495
0.9840000000000005,0.9840000000000005,0.003703800829222452,0.9840000000000005,0.9840000000000005,0.003703800829222452
1.008,1.008,0.002416058117246147,1.008,1.008,0.002416058117246147
1.032,1.032,0.001492958642112577,1.032,1.032,0.001492958642112577
1.056,1.056,0.0008738681594609481,1.056,1.056,0.0008738681594609481
1.080000000000001,1.080000000000001,0.000494235854806595,1.080000000000001,1.080000000000001,0.000494235854806595
1.104000000000001,1.104000000000001,0.0002861405281255958,1.104000000000001,1.104000000000001,0.0002861405281255958
1.128000000000001,1.128000000000001,0.0001848705079672365,1.128000000000001,1.128000000000001,0.0001848705079672365
1.152000000000001,1.152000000000001,0.000140128856093439,1.152000000000001,1.152000000000001,0.000140128856093439
1.176000000000001,1.176000000000001,0.0001214175306890009,1.176000000000001,1.176000000000001,0.0001214175306890009
1.2,1.2,0.0001137142770539859,1.2,1.2,0.0001137142770539859
