/bl X,/bl Y,/blb X,/blb Y,/q X,/q Y,/qb X,/qb Y,/w X,/w Y
0,1.2,0,1.2,0,1.809591121234916e-08,0,1.199999976080317,0,0
6.550628150541493e-12,1.2,6.550628150541493e-12,1.2,6.550628150541493e-12,0.004489826616157992,6.550628150541493e-12,1.204798173795353,6.550628150541493e-12,0.07860753780649792
1.259854689808174e-11,1.2,1.259854689808174e-11,1.2,1.259854689808174e-11,0.006283387758812156,1.259854689808174e-11,1.206296088420274,1.259854689808174e-11,0.1511825627769808
2.469438439316223e-11,1.2,2.469438439316223e-11,1.2,2.469438439316223e-11,0.01254568557307632,2.469438439316223e-11,1.20830164182674,2.469438439316223e-11,0.2963326127179467
3.572594567134739e-11,1.2,3.572594567134739e-11,1.2,3.572594567134739e-11,0.02488419584028445,3.572594567134739e-11,1.209788518120346,3.572594567134739e-11,0.4287113480561686
5.362000721516494e-11,1.2,5.362000721516494e-11,1.2,5.362000721516494e-11,0.05910417301179903,5.362000721516494e-11,1.21239435408524,5.362000721516494e-11,0.6434400865819794
7.681000360758247e-11,1.2,7.681000360758247e-11,1.2,7.681000360758247e-11,0.1204519390227575,7.681000360758247e-11,1.214011492452902,7.681000360758247e-11,0.9217200432909896
1e-10,1.2,1e-10,1.2,1e-10,0.1962508673523383,1e-10,1.213557108961207,1e-10,1.2
1.032949302502975e-10,1.2,1.032949302502975e-10,1.2,1.032949302502975e-10,0.1985158476802221,1.032949302502975e-10,1.207393911725104,1.032949302502975e-10,1.2
1.097108968127538e-10,1.2,1.097108968127538e-10,1.2,1.097108968127538e-10,0.2022543929236823,1.097108968127538e-10,1.19929767320753,1.097108968127538e-10,1.2
1.156734659686403e-10,1.2,1.156734659686403e-10,1.2,1.156734659686403e-10,0.2042178373872154,1.156734659686403e-10,1.196399876788896,1.156734659686403e-10,1.2
1.271181169103543e-10,1.2,1.271181169103543e-10,1.2,1.271181169103543e-10,0.2054091829797124,1.271181169103543e-10,1.194251152356822,1.271181169103543e-10,1.2
1.384633180454033e-10,1.2,1.384633180454033e-10,1.2,1.384633180454033e-10,0.2056514768435789,1.384633180454033e-10,1.193888077845066,1.384633180454033e-10,1.2
1.584184542918126e-10,1.2,1.584184542918126e-10,1.2,1.584184542918126e-10,0.2056941924469536,1.584184542918126e-10,1.193794166507627,1.584184542918126e-10,1.2
1.853883231544447e-10,1.2,1.853883231544447e-10,1.2,1.853883231544447e-10,0.2057052186495654,1.853883231544447e-10,1.193796945017777,1.853883231544447e-10,1.2
2.393280608797087e-10,1.2,2.393280608797087e-10,1.2,2.393280608797087e-10,0.2056978710993889,2.393280608797087e-10,1.193793555159052,2.393280608797087e-10,1.2
3.472075363302369e-10,1.2,3.472075363302369e-10,1.2,3.472075363302369e-10,0.2057040197710224,3.472075363302369e-10,1.193796611283487,3.472075363302369e-10,1.2
5.629664872312932e-10,1.2,5.629664872312932e-10,1.2,5.629664872312932e-10,0.2056983886947591,5.629664872312932e-10,1.193793762892411,5.629664872312932e-10,1.2
9.944843890334057e-10,1.2,9.944843890334057e-10,1.2,9.944843890334057e-10,0.2057037772516795,9.944843890334057e-10,1.193796502473128,9.944843890334057e-10,1.2
1.857520192637631e-09,1.2,1.857520192637631e-09,1.2,1.857520192637631e-09,0.2056985062658445,1.857520192637631e-09,1.193793818098414,1.857520192637631e-09,1.2
3.583591799846081e-09,1.2,3.583591799846081e-09,1.2,3.583591799846081e-09,0.2057037193468941,3.583591799846081e-09,1.193796474714683,3.583591799846081e-09,1.2
5.583591799846081e-09,1.2,5.583591799846081e-09,1.2,5.583591799846081e-09,0.2056985419196354,5.583591799846081e-09,1.193793835384223,5.583591799846081e-09,1.2
7.583591799846081e-09,1.2,7.583591799846081e-09,1.2,7.583591799846081e-09,0.2057036864960567,7.583591799846081e-09,1.193796458673664,7.583591799846081e-09,1.2
8.841795899923039e-09,1.2,8.841795899923039e-09,1.2,8.841795899923039e-09,0.2056985841751639,8.841795899923039e-09,1.193793856191014,8.841795899923039e-09,1.2
1.01e-08,1.2,1.01e-08,1.2,1.01e-08,0.2057036349593454,1.01e-08,1.193796433087855,1.01e-08,1.2
1.010625e-08,1.2,1.010625e-08,1.2,1.010625e-08,0.1865350815389484,1.010625e-08,1.185703059311686,1.010625e-08,1.124999999999994
1.011608145856283e-08,1.2,1.011608145856283e-08,1.2,1.011608145856283e-08,0.1555908267146434,1.011608145856283e-08,1.179546164184529,1.011608145856283e-08,1.00702249724604
1.013574437568849e-08,1.2,1.013574437568849e-08,1.2,1.013574437568849e-08,0.09488908390234151,1.013574437568849e-08,1.182142156599505,1.013574437568849e-08,0.7710674917381299
1.015260675194734e-08,1.2,1.015260675194734e-08,1.2,1.015260675194734e-08,0.05051228681582184,1.015260675194734e-08,1.185227930319488,1.015260675194734e-08,0.5687189766318952
