/bl X,/bl Y,/blb X,/blb Y,/q X,/q Y,/qb X,/qb Y,/w X,/w Y
0,1.2,0,1.2,0,3.945726868576841e-08,0,1.199999928534828,0,0
6.550628150541493e-12,1.2,6.550628150541493e-12,1.2,6.550628150541493e-12,0.002508449147324004,6.550628150541493e-12,1.203219420847994,6.550628150541493e-12,0.07860753780649792
1.259854689808174e-11,1.2,1.259854689808174e-11,1.2,1.259854689808174e-11,0.003515115234093862,1.259854689808174e-11,1.204190374911647,1.259854689808174e-11,0.1511825627769808
2.469438439316223e-11,1.2,2.469438439316223e-11,1.2,2.469438439316223e-11,0.008346884379422269,2.469438439316223e-11,1.205592465367415,2.469438439316223e-11,0.2963326127179467
3.6956513752015e-11,1.2,3.6956513752015e-11,1.2,3.6956513752015e-11,0.01957005932716571,3.6956513752015e-11,1.206673407500622,3.6956513752015e-11,0.4434781650241799
5.808814353924703e-11,1.2,5.808814353924703e-11,1.2,5.808814353924703e-11,0.05251598579179372,5.808814353924703e-11,1.208353715104743,5.808814353924703e-11,0.6970577224709643
7.904407176962352e-11,1.2,7.904407176962352e-11,1.2,7.904407176962352e-11,0.09646232581984286,7.904407176962352e-11,1.208846594569865,7.904407176962352e-11,0.9485288612354822
1e-10,1.2,1e-10,1.2,1e-10,0.1482546798300229,1e-10,1.208126435125188,1e-10,1.2
1.031803498884367e-10,1.2,1.031803498884367e-10,1.2,1.031803498884367e-10,0.1492635328640534,1.031803498884367e-10,1.203590016240299,1.031803498884367e-10,1.2
1.09437400485838e-10,1.2,1.09437400485838e-10,1.2,1.09437400485838e-10,0.1509641352236838,1.09437400485838e-10,1.198064490854989,1.09437400485838e-10,1.2
1.150591210587197e-10,1.2,1.150591210587197e-10,1.2,1.150591210587197e-10,0.15167621536677,1.150591210587197e-10,1.196697748209425,1.150591210587197e-10,1.2
1.263025622044833e-10,1.2,1.263025622044833e-10,1.2,1.263025622044833e-10,0.1518917807018214,1.263025622044833e-10,1.195899657077452,1.263025622044833e-10,1.2
1.377129956676212e-10,1.2,1.377129956676212e-10,1.2,1.377129956676212e-10,0.1519506123680813,1.377129956676212e-10,1.195899025524352,1.377129956676212e-10,1.2
1.601972363099529e-10,1.2,1.601972363099529e-10,1.2,1.601972363099529e-10,0.1519197411186345,1.601972363099529e-10,1.195875199223721,1.601972363099529e-10,1.2
1.93964245630336e-10,1.2,1.93964245630336e-10,1.2,1.93964245630336e-10,0.1519469560106275,1.93964245630336e-10,1.195890941538158,1.93964245630336e-10,1.2
2.614982642711021e-10,1.2,2.614982642711021e-10,1.2,2.614982642711021e-10,0.1519228226666165,2.614982642711021e-10,1.195876210680823,2.614982642711021e-10,1.2
3.965663015526344e-10,1.2,3.965663015526344e-10,1.2,3.965663015526344e-10,0.1519455583430828,3.965663015526344e-10,1.19589037307156,3.965663015526344e-10,1.2
6.667023761156988e-10,1.2,6.667023761156988e-10,1.2,6.667023761156988e-10,0.1519234822381812,6.667023761156988e-10,1.195876509814154,6.667023761156988e-10,1.2
1.206974525241828e-09,1.2,1.206974525241828e-09,1.2,1.206974525241828e-09,0.1519452375166516,1.206974525241828e-09,1.195890221192778,1.206974525241828e-09,1.2
