/bl X,/bl Y,/blb X,/blb Y,/q X,/q Y,/qb X,/qb Y,/w X,/w Y
0,0,0,0.9,0,0.424425778312464,0,0.4243685888040108,0,0
6.25e-12,0.05624999999999999,6.25e-12,0.84375,6.25e-12,0.4304341308535976,6.25e-12,0.4303700228198094,6.25e-12,0.05624999999999999
1.229021879202695e-11,0.1106119691282426,1.229021879202695e-11,0.7893880308717575,1.229021879202695e-11,0.4333346818358625,1.229021879202695e-11,0.4332559588280381,1.229021879202695e-11,0.1106119691282426
2.437065637608086e-11,0.2193359073847277,2.437065637608086e-11,0.6806640926152723,2.437065637608086e-11,0.4362128626613515,2.437065637608086e-11,0.4360852908205874,2.437065637608086e-11,0.2193359073847277
3.621269333893468e-11,0.3259142400504121,3.621269333893468e-11,0.5740857599495879,3.621269333893468e-11,0.4362264265458118,3.621269333893468e-11,0.4359997996523227,3.621269333893468e-11,0.3259142400504121
5.989676726464232e-11,0.5390709053817809,5.989676726464232e-11,0.3609290946182191,5.989676726464232e-11,0.4369902380409039,5.989676726464232e-11,0.4350886872163439,5.989676726464232e-11,0.5390709053817809
6.517132876578521e-11,0.586541958892067,6.517132876578521e-11,0.3134580411079331,6.517132876578521e-11,0.4373365421775306,6.517132876578521e-11,0.4340613218056702,6.517132876578521e-11,0.586541958892067
7.572045176807099e-11,0.681484065912639,7.572045176807099e-11,0.218515934087361,7.572045176807099e-11,0.4394193388799563,7.572045176807099e-11,0.4069011757899995,7.572045176807099e-11,0.681484065912639
8.387881638741754e-11,0.7549093474867578,8.387881638741754e-11,0.1450906525132423,8.387881638741754e-11,0.4513983463639753,8.387881638741754e-11,0.3392426307260829,8.387881638741754e-11,0.7549093474867578
9.080606654577872e-11,0.8172545989120085,9.080606654577872e-11,0.08274540108799155,9.080606654577872e-11,0.4845882066308361,9.080606654577872e-11,0.2384342219487051,9.080606654577872e-11,0.8172545989120085
9.540303327288935e-11,0.8586272994560041,9.540303327288935e-11,0.04137270054399589,9.540303327288935e-11,0.5263875489705009,9.540303327288935e-11,0.1586486750330938,9.540303327288935e-11,0.8586272994560041
1e-10,0.9,1e-10,0,1e-10,0.5873177226121951,1e-10,0.08738963369082674,1e-10,0.9
1.017353357580542e-10,0.9,1.017353357580542e-10,0,1.017353357580542e-10,0.6143163176396268,1.017353357580542e-10,0.06803715847974524,1.017353357580542e-10,0.9
1.042881074385e-10,0.9,1.042881074385e-10,0,1.042881074385e-10,0.6570045208828964,1.042881074385e-10,0.04695973925354471,1.042881074385e-10,0.9
1.066707601031351e-10,0.9,1.066707601031351e-10,0,1.066707601031351e-10,0.6994696446134376,1.066707601031351e-10,0.03683073274470154,1.066707601031351e-10,0.9
1.112982019646487e-10,0.9,1.112982019646487e-10,0,1.112982019646487e-10,0.7732158408180189,1.112982019646487e-10,0.02506347754283157,1.112982019646487e-10,0.9
1.146058174648577e-10,0.9,1.146058174648577e-10,0,1.146058174648577e-10,0.8139072637169803,1.146058174648577e-10,0.01893612205910097,1.146058174648577e-10,0.9
1.19460105899491e-10,0.9,1.19460105899491e-10,0,1.19460105899491e-10,0.8536836256714442,1.19460105899491e-10,0.01131036714349224,1.19460105899491e-10,0.9
1.273604944789121e-10,0.9,1.273604944789121e-10,0,1.273604944789121e-10,0.8849440772129668,1.273604944789121e-10,0.003887818515822749,1.273604944789121e-10,0.9
1.332029086306958e-10,0.9,1.332029086306958e-10,0,1.332029086306958e-10,0.8933947418841294,1.332029086306958e-10,0.001709653653846251,1.332029086306958e-10,0.9
1.396456797047416e-10,0.9,1.396456797047416e-10,0,1.396456797047416e-10,0.8973479474219852,1.396456797047416e-10,0.0006678164797254244,1.396456797047416e-10,0.9
1.468517215870981e-10,0.9,1.468517215870981e-10,0,1.468517215870981e-10,0.8990136122683133,1.468517215870981e-10,0.0002387381359925645,1.468517215870981e-10,0.9
1.569938537664432e-10,0.9,1.569938537664432e-10,0,1.569938537664432e-10,0.8997167684551236,1.569938537664432e-10,4.906057379289001e-05,1.569938537664432e-10,0.9
1.708488369850599e-10,0.9,1.708488369850599e-10,0,1.708488369850599e-10,0.8998747275523657,1.708488369850599e-10,1.449793789271795e-05,1.708488369850599e-10,0.9
1.920716108540511e-10,0.9,1.920716108540511e-10,0,1.920716108540511e-10,0.8998713740146592,1.920716108540511e-10,8.664088748512361e-06,1.920716108540511e-10,0.9
2.273422810816287e-10,0.9,2.273422810816287e-10,0,2.273422810816287e-10,0.8998762153999946,2.273422810816287e-10,1.410684049979512e-05,2.273422810816287e-10,0.9
2.978836215367838e-10,0.9,2.978836215367838e-10,0,2.978836215367838e-10,0.89987116984394,2.978836215367838e-10,8.739108966559055e-06,2.978836215367838e-10,0.9
4.352079641267051e-10,0.9,4.352079641267051e-10,0,4.352079641267051e-10,0.8998762631758717,4.352079641267051e-10,1.408100683559123e-05,4.352079641267051e-10,0.9
6.93583043347624e-10,0.9,6.93583043347624e-10,0,6.93583043347624e-10,0.8998711531387372,6.93583043347624e-10,8.750971206102705e-06,6.93583043347624e-10,0.9
1.197594024969785e-09,0.9,1.197594024969785e-09,0,1.197594024969785e-09,0.899876270247433,1.197594024969785e-09,1.407508183214993e-05,1.197594024969785e-09,0.9
2.166118609691817e-09,0.9,2.166118609691817e-09,0,2.166118609691817e-09,0.8998711499039687,2.166118609691817e-09,8.753954693088584e-06,2.166118609691817e-09,0.9
