/blb X,/blb Y,/q X,/q Y,/qb X,/qb Y
0.9,0.9,0.9,0.4647224765865303,0.9,0.4647224765865304
0.899,0.899,0.899,0.4646952501662475,0.899,0.4647364903680191
0.898,0.898,0.898,0.4646679358673519,0.898,0.4647504121093912
0.897,0.897,0.897,0.464640625550143,0.897,0.4647643337297631
0.896,0.896,0.896,0.464613319174365,0.896,0.4647782552488587
0.895,0.895,0.895,0.4645860166989841,0.895,0.4647921766868106
0.894,0.894,0.894,0.4645587180821749,0.894,0.4648060980641655
0.893,0.893,0.893,0.4645314232813038,0.893,0.4648200194018945
0.892,0.892,0.892,0.4645041322529129,0.892,0.4648339407214019
0.891,0.891,0.891,0.4644768449527061,0.891,0.4648478620445307
0.89,0.89,0.89,0.4644495613355288,0.89,0.464861783393575
0.889,0.889,0.889,0.4644222813553551,0.889,0.4648757047912861
0.888,0.888,0.888,0.464395004965268,0.888,0.4648896262608835
0.887,0.887,0.887,0.4643677321174424,0.887,0.4649035478260623
0.886,0.886,0.886,0.4643404627631275,0.886,0.4649174695110051
0.885,0.885,0.885,0.4643131968526281,0.885,0.4649313913403889
0.884,0.884,0.884,0.464285934335286,0.884,0.4649453133393975
0.883,0.883,0.883,0.4642586751594613,0.883,0.4649592355337298
0.882,0.882,0.882,0.4642314192725116,0.882,0.464973157949611
0.881,0.881,0.881,0.4642041666207724,0.881,0.4649870806138041
0.88,0.88,0.88,0.4641769171495385,0.88,0.4650010035536182
0.879,0.879,0.879,0.4641496708030391,0.879,0.4650149267969224
0.878,0.878,0.878,0.4641224275244206,0.878,0.4650288503721546
0.877,0.877,0.877,0.4640951872557232,0.877,0.4650427743083342
0.876,0.876,0.876,0.4640679499378567,0.876,0.4650566986350751
0.875,0.875,0.875,0.4640407155105807,0.875,0.4650706233825955
0.874,0.874,0.874,0.4640134839124797,0.874,0.4650845485817307
0.873,0.873,0.873,0.4639862550809379,0.873,0.4650984742639486
0.872,0.872,0.872,0.463959028952118,0.872,0.4651124004613581
0.871,0.871,0.871,0.463931805460935,0.871,0.4651263272067243
0.87,0.87,0.87,0.4639045845410282,0.87,0.465140254533484
0.869,0.869,0.869,0.463877366124739,0.869,0.4651541824757561
0.868,0.868,0.868,0.4638501501430811,0.868,0.4651681110683579
0.867,0.867,0.867,0.4638229365257159,0.867,0.465182040346818
0.866,0.866,0.866,0.4637957252009221,0.866,0.4651959703473933
0.865,0.865,0.865,0.4637685160955693,0.865,0.4652099011070809
0.864,0.864,0.864,0.4637413091350875,0.864,0.465223832663637
0.863,0.863,0.863,0.4637141042434378,0.863,0.4652377650555889
0.862,0.862,0.862,0.4636869013430814,0.862,0.4652516983222557
0.861,0.861,0.861,0.4636597003549495,0.861,0.4652656325037601
0.86,0.86,0.86,0.4636325011984099,0.86,0.4652795676410482
0.859,0.859,0.859,0.4636053037912361,0.859,0.4652935037759065
0.858,0.858,0.858,0.463578108049572,0.858,0.4653074409509788
0.857,0.857,0.857,0.4635509138878984,0.857,0.4653213792097841
0.856,0.856,0.856,0.4635237212189999,0.856,0.4653353185967359
0.855,0.855,0.855,0.4634965299539257,0.855,0.4653492591571613
0.854,0.854,0.854,0.4634693400019553,0.854,0.4653632009373194
0.853,0.853,0.853,0.463442151270561,0.853,0.4653771439844219
0.852,0.852,0.852,0.4634149636653686,0.852,0.4653910883466526
0.851,0.851,0.851,0.4633877770901187,0.851,0.4654050340731895
0.85,0.85,0.85,0.4633605914466271,0.85,0.4654189812142243
0.849,0.849,0.849,0.4633334066347419,0.849,0.4654329298209859
0.848,0.848,0.848,0.4633062225523027,0.848,0.4654468799457621
0.847,0.847,0.847,0.463279039095099,0.847,0.4654608316419209
0.846,0.846,0.846,0.4632518561568233,0.846,0.4654747849639359
0.845,0.845,0.845,0.463224673629027,0.845,0.4654887399674103
0.844,0.844,0.844,0.463197491401076,0.844,0.465502696709098
0.843,0.843,0.843,0.4631703093600996,0.843,0.4655166552469345
0.842,0.842,0.842,0.4631431273909455,0.842,0.4655306156400568
0.841,0.841,0.841,0.4631159453761297,0.841,0.4655445779488324
0.84,0.84,0.84,0.4630887631957843,0.84,0.4655585422348861
0.839,0.839,0.839,0.4630615807276063,0.839,0.4655725085611271
0.838,0.838,0.838,0.4630343978468043,0.838,0.4655864769917785
0.837,0.837,0.837,0.4630072144260441,0.837,0.4656004475924038
0.836,0.836,0.836,0.4629800303353921,0.836,0.4656144204299388
0.835,0.835,0.835,0.4629528454422602,0.835,0.4656283955727192
0.834,0.834,0.834,0.4629256596113443,0.834,0.4656423730905159
0.833,0.833,0.833,0.462898472704566,0.833,0.4656563530545625
0.832,0.832,0.832,0.4628712845810117,0.832,0.4656703355375901
0.831,0.831,0.831,0.4628440950968674,0.831,0.4656843206138607
0.83,0.83,0.83,0.4628169041053553,0.83,0.4656983083592018
0.829,0.829,0.829,0.4627897114566701,0.829,0.4657122988510374
0.828,0.828,0.828,0.4627625169979061,0.828,0.465726292168432
0.827,0.827,0.827,0.462735320572992,0.827,0.4657402883921191
0.826,0.826,0.826,0.4627081220226178,0.826,0.4657542876045441
0.825,0.825,0.825,0.4626809211841631,0.825,0.4657682898899008
0.824,0.824,0.824,0.4626537178916214,0.824,0.4657822953341716
0.823,0.823,0.823,0.4626265119755231,0.823,0.465796304025169
0.822,0.822,0.822,0.4625993032628579,0.822,0.4658103160525757
0.821,0.821,0.821,0.4625720915769947,0.821,0.4658243315079881
0.82,0.82,0.82,0.4625448767375969,0.82,0.4658383504849611
0.819,0.819,0.819,0.4625176585605408,0.819,0.4658523730790504
0.8179999999999999,0.8179999999999999,0.8179999999999999,0.4624904368578264,0.8179999999999999,0.4658663993878611
0.8169999999999999,0.8169999999999999,0.8169999999999999,0.46246321143749,0.8169999999999999,0.4658804295110935
0.8159999999999999,0.8159999999999999,0.8159999999999999,0.4624359821035116,0.8159999999999999,0.4658944635505923
0.8149999999999999,0.8149999999999999,0.8149999999999999,0.4624087486557228,0.8149999999999999,0.4659085016103953
0.8139999999999999,0.8139999999999999,0.8139999999999999,0.4623815108897112,0.8139999999999999,0.4659225437967849
0.8129999999999999,0.8129999999999999,0.8129999999999999,0.4623542685967184,0.8129999999999999,0.4659365902183414
0.8119999999999999,0.8119999999999999,0.8119999999999999,0.4623270215635451,0.8119999999999999,0.4659506409859936
0.8109999999999999,0.8109999999999999,0.8109999999999999,0.4622997695724432,0.8109999999999999,0.4659646962130771
0.8099999999999999,0.8099999999999999,0.8099999999999999,0.4622725124010096,0.8099999999999999,0.4659787560153881
0.8089999999999999,0.8089999999999999,0.8089999999999999,0.4622452498220805,0.8089999999999999,0.4659928205112429
0.8079999999999999,0.8079999999999999,0.8079999999999999,0.4622179816036179,0.8079999999999999,0.4660068898215359
0.8069999999999999,0.8069999999999999,0.8069999999999999,0.4621907075085938,0.8069999999999999,0.4660209640698019
0.8059999999999999,0.8059999999999999,0.8059999999999999,0.4621634272948741,0.8059999999999999,0.4660350433822775
0.8049999999999999,0.8049999999999999,0.8049999999999999,0.4621361407151005,0.8049999999999999,0.4660491278879642
0.8039999999999999,0.8039999999999999,0.8039999999999999,0.4621088475165602,0.8039999999999999,0.4660632177186974
0.8029999999999999,0.8029999999999999,0.8029999999999999,0.4620815474410638,0.8029999999999999,0.4660773130092113
0.8019999999999999,0.8019999999999999,0.8019999999999999,0.4620542402248162,0.8019999999999999,0.4660914138972075
0.8009999999999999,0.8009999999999999,0.8009999999999999,0.4620269255982787,0.8009999999999999,0.4661055205234286
0.7999999999999999,0.7999999999999999,0.7999999999999999,0.4619996032860332,0.7999999999999999,0.4661196330317297
0.7989999999999999,0.7989999999999999,0.7989999999999999,0.4619722730066432,0.7989999999999999,0.4661337515691532
0.7979999999999999,0.7979999999999999,0.7979999999999999,0.4619449344725067,0.7979999999999999,0.466147876286006
0.7969999999999999,0.7969999999999999,0.7969999999999999,0.4619175873897081,0.7969999999999999,0.4661620073359396
0.7959999999999999,0.7959999999999999,0.7959999999999999,0.4618902314578681,0.7959999999999999,0.4661761448760282
0.7949999999999999,0.7949999999999999,0.7949999999999999,0.4618628663699841,0.7949999999999999,0.4661902890668552
0.7939999999999999,0.7939999999999999,0.7939999999999999,0.4618354918122706,0.7939999999999999,0.4662044400725969
0.7929999999999999,0.7929999999999999,0.7929999999999999,0.4618081074639943,0.7929999999999999,0.4662185980611113
0.7919999999999999,0.7919999999999999,0.7919999999999999,0.4617807129973063,0.7919999999999999,0.4662327632040259
0.7909999999999999,0.7909999999999999,0.7909999999999999,0.4617533080770646,0.7909999999999999,0.4662469356768336
0.7899999999999999,0.7899999999999999,0.7899999999999999,0.4617258923606587,0.7899999999999999,0.4662611156589853
0.7889999999999999,0.7889999999999999,0.7889999999999999,0.4616984654978236,0.7889999999999999,0.4662753033339893
0.7879999999999999,0.7879999999999999,0.7879999999999999,0.4616710271304525,0.7879999999999999,0.4662894988895098
0.7869999999999999,0.7869999999999999,0.7869999999999999,0.4616435768924021,0.7869999999999999,0.4663037025174727
0.7859999999999999,0.7859999999999999,0.7859999999999999,0.4616161144092966,0.7859999999999999,0.4663179144141673
0.7849999999999999,0.7849999999999999,0.7849999999999999,0.4615886392983189,0.7849999999999999,0.4663321347803598
0.7839999999999999,0.7839999999999999,0.7839999999999999,0.4615611511680026,0.7839999999999999,0.4663463638214029
0.7829999999999999,0.7829999999999999,0.7829999999999999,0.461533649618017,0.7829999999999999,0.4663606017473499
0.7819999999999999,0.7819999999999999,0.7819999999999999,0.4615061342389455,0.7819999999999999,0.4663748487730738
0.7809999999999999,0.7809999999999999,0.7809999999999999,0.461478604612055,0.7809999999999999,0.4663891051183893
0.7799999999999999,0.7799999999999999,0.7799999999999999,0.4614510603090641,0.7799999999999999,0.4664033710081768
0.7789999999999999,0.7789999999999999,0.7789999999999999,0.4614235008919023,0.7789999999999999,0.4664176466725101
0.7779999999999999,0.7779999999999999,0.7779999999999999,0.4613959259124618,0.7779999999999999,0.4664319323467891
0.7769999999999999,0.7769999999999999,0.7769999999999999,0.4613683349123424,0.7769999999999999,0.4664462282718755
0.7759999999999999,0.7759999999999999,0.7759999999999999,0.4613407274225929,0.7759999999999999,0.4664605346942307
0.7749999999999999,0.7749999999999999,0.7749999999999999,0.4613131029634381,0.7749999999999999,0.466474851866061
0.7739999999999999,0.7739999999999999,0.7739999999999999,0.4612854610440075,0.7739999999999999,0.466489180045463
0.7729999999999999,0.7729999999999999,0.7729999999999999,0.4612578011620465,0.7729999999999999,0.4665035194965765
0.7719999999999999,0.7719999999999999,0.7719999999999999,0.4612301228036266,0.7719999999999999,0.4665178704897401
0.7709999999999999,0.7709999999999999,0.7709999999999999,0.4612024254428455,0.7709999999999999,0.4665322333016501
0.7699999999999999,0.7699999999999999,0.7699999999999999,0.4611747085415154,0.7699999999999999,0.4665466082155267
0.7689999999999999,0.7689999999999999,0.7689999999999999,0.4611469715488489,0.7689999999999999,0.4665609955212834
0.7679999999999999,0.7679999999999999,0.7679999999999999,0.461119213901129,0.7679999999999999,0.4665753955156996
0.7669999999999999,0.7669999999999999,0.7669999999999999,0.4610914350213747,0.7669999999999999,0.4665898085026029
0.7659999999999999,0.7659999999999999,0.7659999999999999,0.4610636343189942,0.7659999999999999,0.4666042347930507
0.7649999999999999,0.7649999999999999,0.7649999999999999,0.4610358111894302,0.7649999999999999,0.4666186747055218
0.7639999999999999,0.7639999999999999,0.7639999999999999,0.4610079650137909,0.7639999999999999,0.4666331285661123
0.7629999999999999,0.7629999999999999,0.7629999999999999,0.4609800951584785,0.7629999999999999,0.4666475967087338
0.7619999999999999,0.7619999999999999,0.7619999999999999,0.4609522009747976,0.7619999999999999,0.4666620794753226
0.7609999999999999,0.7609999999999999,0.7609999999999999,0.4609242817985554,0.7609999999999999,0.466676577216054
0.7599999999999999,0.7599999999999999,0.7599999999999999,0.460896336949657,0.7599999999999999,0.4666910902895565
0.7589999999999999,0.7589999999999999,0.7589999999999999,0.4608683657316767,0.7589999999999999,0.4667056190631423
0.7579999999999999,0.7579999999999999,0.7579999999999999,0.4608403674314264,0.7579999999999999,0.4667201639130376
0.7569999999999999,0.7569999999999999,0.7569999999999999,0.4608123413185077,0.7569999999999999,0.466734725224621
0.7559999999999999,0.7559999999999999,0.7559999999999999,0.4607842866448508,0.7559999999999999,0.4667493033926711
0.7549999999999999,0.7549999999999999,0.7549999999999999,0.4607562026442416,0.7549999999999999,0.4667638988216175
0.7539999999999999,0.7539999999999999,0.7539999999999999,0.4607280885318296,0.7539999999999999,0.4667785119258057
0.7529999999999999,0.7529999999999999,0.7529999999999999,0.4606999435036307,0.7529999999999999,0.466793143129761
0.7519999999999999,0.7519999999999999,0.7519999999999999,0.4606717667360058,0.7519999999999999,0.4668077928684685
0.7509999999999999,0.7509999999999999,0.7509999999999999,0.4606435573851265,0.7509999999999999,0.4668224615876588
0.7499999999999999,0.7499999999999999,0.7499999999999999,0.4606153145864311,0.7499999999999999,0.466837149744097
0.7489999999999999,0.7489999999999999,0.7489999999999999,0.4605870374540545,0.7489999999999999,0.4668518578058893
