nfin_pu,nfin_pd,nfin_acc,vdd,temp,hsnm_mv,rsnm_mv,wsnm_mv,read_type_x,read0_q_node_disturb_mv,read0_qb_node_disturb_mv,read0_high_node_drop_mv,read0_wl_to_q_node_disturb_peak_ps,read0_wl_to_qb_node_disturb_peak_ps,read0_average_read_current_ua,read0_peak_read_current_ua,read0_read_power_uw,read0_read_energy_fj,read0_read_success,read_type_y,read1_q_node_disturb_mv,read1_qb_node_disturb_mv,read1_high_node_drop_mv,read1_wl_to_q_node_disturb_peak_ps,read1_wl_to_qb_node_disturb_peak_ps,read1_average_read_current_ua,read1_peak_read_current_ua,read1_read_power_uw,read1_read_energy_fj,read1_read_success,write0_cell_write_delay_ps,write0_q_node_voltage_excursion_mv,write0_qb_node_voltage_excursion_mv,write0_average_write_current_ua,write0_peak_write_current_ua,write0_write_power_uw,write0_write_energy_fj,write0_write_success,write_type_x,write1_cell_write_delay_ps,write1_q_node_voltage_excursion_mv,write1_qb_node_voltage_excursion_mv,write1_average_write_current_ua,write1_peak_write_current_ua,write1_write_power_uw,write1_write_energy_fj,write1_write_success,write_type_y,worst_write_delay_ps,worst_write_power_uw,worst_write_energy_fj,hold_type_x,hold0_hold_high_node_drop_mv,hold0_hold_low_node_disturb_mv,hold0_hold_leakage_current_na,hold0_hold_power_uw,hold0_hold_energy_fj,hold0_hold_success,hold_type_y,hold1_hold_high_node_drop_mv,hold1_hold_low_node_disturb_mv,hold1_hold_leakage_current_na,hold1_hold_power_uw,hold1_hold_energy_fj,hold1_hold_success
1,1,1,0.6,27,,,,read_0,93.5104,1.00414,1.00414,212.094,212.094,0.0167257,1.67637,0.0100354,0.100354,1.0,read_1,1.00414,93.5104,1.00414,212.094,212.094,0.0167257,1.67637,0.0100354,0.100354,1.0,161.535,599.898,599.898,0.0494741999999999,5.19359,0.0296845,0.2968449999999999,1.0,write_0,108.165,599.905,599.996,0.0504482,5.235519999999999,0.0302689,0.302689,1.0,write_1,161.535,0.0302689,0.302689,hold_0,8.0195,0.263791,9.25835,0.00555501,0.0555501,1.0,hold_1,8.11545,0.254167,9.17804,0.00550682,0.0550682,1.0
1,1,1,0.7,27,,,,read_0,112.224,1.36685,1.36685,9668.22,211.563,0.0192866,1.96248,0.0135006,0.135006,1.0,read_1,1.36686,112.224,1.36686,211.563,9668.22,0.0192866,1.96248,0.0135006,0.135006,1.0,155.923,699.8889999999999,699.8910000000001,0.062784,8.23802,0.0439488,0.439488,1.0,write_0,92.6438,699.8989999999999,699.9960000000001,0.063086,8.26092,0.0441602,0.441602,1.0,write_1,155.923,0.0441602,0.441602,hold_0,7.50144,0.18033,11.6931,0.00818519,0.0818519,1.0,hold_1,7.49063,0.178874,11.7417,0.00821916,0.0821916,1.0
1,1,1,0.8,27,,,,read_0,130.947,1.89512,1.89512,9167.73,272.758,0.0224044,2.24824,0.0179235,0.179235,1.0,read_1,1.89513,130.947,1.89513,272.758,9167.73,0.0224044,2.24824,0.0179235,0.179235,1.0,152.504,799.877,799.878,0.0780107,12.0022,0.0624085,0.624085,1.0,write_0,83.2157,799.8939999999999,799.9939999999999,0.0770733,12.0009,0.0616586,0.616586,1.0,write_1,152.504,0.0624085,0.624085,hold_0,7.264,0.387013,14.4693,0.0115754,0.115754,1.0,hold_1,7.19586,0.222887,14.3496,0.0114797,0.114797,1.0
1,1,1,0.9,27,,,,read_0,149.636,2.618,2.618,142.007,142.007,0.0258823,2.53329,0.0232941,0.232941,1.0,read_1,2.61802,149.636,2.61802,142.007,142.007,0.0258823,2.53329,0.0232941,0.232941,1.0,149.97799999999998,899.86,899.868,0.0947858,16.1099,0.0853072,0.8530719999999999,1.0,write_0,76.9089,899.8810000000001,899.9910000000001,0.0922633,16.093,0.083037,0.83037,1.0,write_1,149.97799999999998,0.0853072,0.8530719999999999,hold_0,7.19405,0.559504,17.9158,0.0161243,0.161243,1.0,hold_1,7.13461,0.377701,18.1871,0.0163684,0.163684,1.0
1,1,1,1.0,27,312.23,160.89,343.13,read_0,168.299,3.55734,3.55734,140.374,140.374,0.0290131,2.81786,0.0290131,0.290131,1.0,read_1,3.55735,168.299,3.55735,140.374,140.374,0.0290131,2.81786,0.0290131,0.290131,1.0,147.954,999.838,999.845,0.1133119999999999,20.8487,0.1133119999999999,1.13312,1.0,write_0,72.4694,999.857,999.992,0.10697,20.753,0.10697,1.0697,1.0,write_1,147.954,0.1133119999999999,1.13312,hold_0,7.21047,0.502165,22.0995,0.0220995,0.220995,1.0,hold_1,7.22739,0.421462,21.9808,0.0219808,0.219808,1.0
1,1,1,1.1,27,341.95,175.81,388.15,read_0,186.97,4.74363,4.74363,9744.29,9438.57,0.0314779,3.10199,0.0346256,0.346256,1.0,read_1,4.74365,186.97,4.74365,9438.57,9744.29,0.0314779,3.10199,0.0346256,0.346256,1.0,146.22799999999998,1099.81,1099.81,0.1332559999999999,25.9532,0.146582,1.46582,1.0,write_0,69.40899999999999,1099.84,1099.98,0.12449,25.9971,0.13694,1.3694,1.0,write_1,146.22799999999998,0.146582,1.46582,hold_0,7.40635,0.547682,26.8127,0.0294939,0.294939,1.0,hold_1,7.40401,0.543175,26.6775,0.0293452,0.293452,1.0
1,1,1,1.2,27,371.19,190.35,433.13,read_0,205.703,6.205,6.205,231.773,9477.74,0.0347132,3.38625,0.0416559,0.416559,1.0,read_1,6.20503,205.703,6.20503,9477.74,231.773,0.0347132,3.38625,0.0416559,0.416559,1.0,144.622,1199.78,1199.78,0.154675,31.274,0.18561,1.8561,1.0,write_0,66.8345,1199.8,1199.98,0.142769,31.0583,0.171323,1.71323,1.0,write_1,144.622,0.18561,1.8561,hold_0,7.69337,0.807888,32.4211,0.0389054,0.389054,1.0,hold_1,7.69454,0.793822,32.5006,0.0390008,0.390008,1.0
1,1,1,1.3,27,399.97,204.57,483.14,read_0,224.55,7.97858,7.97858,118.185,9507.11,0.0380305,3.67081,0.0494397,0.494397,1.0,read_1,7.97861,224.55,7.97861,9507.11,118.185,0.0380305,3.67081,0.0494397,0.494397,1.0,143.142,1299.74,1299.73,0.1773809999999999,37.0201,0.230595,2.30595,1.0,write_0,64.7435,1299.77,1299.98,0.162206,37.1017,0.210867,2.10867,1.0,write_1,143.142,0.230595,2.30595,hold_0,8.05924,0.797858,38.7467,0.0503707,0.503707,1.0,hold_1,8.07329,0.879268,39.001,0.0507014,0.507014,1.0
1,1,2,0.6,27,186.6,58.28,288.08,read_0,144.648,3.83416,3.83416,540.196,540.196,0.0225889,2.2971,0.0135534,0.135534,1.0,read_1,3.83417,144.648,3.83417,540.196,540.196,0.0225889,2.2971,0.0135534,0.135534,1.0,142.256,599.896,599.896,0.0367626999999999,6.74402,0.0220576,0.220576,1.0,write_0,76.9724,599.906,600.0,0.0396419,6.76083,0.0237852,0.237852,1.0,write_1,142.256,0.0237852,0.237852,hold_0,11.1652,0.32489,10.6325,0.00637952,0.0637952,1.0,hold_1,11.2207,0.32629,10.6782,0.00640692,0.0640692,1.0
1,1,2,0.7,27,219.09,64.1,348.18,read_0,175.815,5.96337,5.96337,388.851,4619.78,0.0265774,2.68962,0.0186042,0.186042,1.0,read_1,5.96338,175.815,5.96338,4619.78,388.851,0.0265774,2.68962,0.0186042,0.186042,1.0,137.499,699.888,699.8919999999999,0.0462388,9.91368,0.0323670999999999,0.323671,1.0,write_0,67.6052,699.9,699.993,0.0491968,10.5588,0.0344376999999999,0.344377,1.0,write_1,137.499,0.0344376999999999,0.344377,hold_0,10.1192,0.359257,13.6016,0.00952115,0.0952115,1.0,hold_1,10.1506,0.25287,13.4744,0.00943207,0.0943207,1.0
